venta_id,fecha,producto,categoria,cantidad,precio_unitario,total,region,vendedor
V00001,2026-08-09,Zapatillas Running,Deporte,2,85.7,171.4,Guayaquil,M. Salazar
V00002,2026-06-25,Teclado Mecanico,Tecnologia,12,62.62,751.44,Ambato,A. Torres
V00003,2026-08-27,Aspiradora Robot,Hogar,7,248.07,1736.49,Guayaquil,M. Salazar
V00004,2026-08-17,Cafetera Espresso,Hogar,10,138.25,1382.5,Ambato,P. Vega
V00005,2026-06-19,Monitor 27 4K,Tecnologia,8,328.51,2628.08,Quito,M. Salazar
V00006,2026-08-21,Bicicleta Urbana,Deporte,7,536.89,3758.23,Guayaquil,J. Ramirez
V00007,2026-08-01,Mouse Inalambrico,Tecnologia,2,18.49,36.98,Cuenca,L. Ortiz
V00008,2026-07-15,Silla Ergonomica,Oficina,1,219.42,219.42,Quito,P. Vega
V00009,2026-07-06,Mouse Inalambrico,Tecnologia,9,18.28,164.52,Ambato,J. Ramirez
V00010,2026-09-01,Aspiradora Robot,Hogar,4,270.81,1083.24,Guayaquil,J. Ramirez
V00011,2026-07-30,Mouse Inalambrico,Tecnologia,4,19.66,78.64,Cuenca,P. Vega
V00012,2026-08-02,Zapatillas Running,Deporte,6,87.31,523.86,Guayaquil,C. Nunez
V00013,2026-07-04,Silla Ergonomica,Oficina,12,225.07,2700.84,Quito,L. Ortiz
V00014,2026-08-12,Zapatillas Running,Deporte,3,91.65,274.95,Guayaquil,P. Vega
V00015,2026-07-05,Cuaderno A5,Papeleria,5,3.45,17.25,Ambato,M. Salazar
V00016,2026-06-22,Zapatillas Running,Deporte,6,95.26,571.56,Quito,M. Salazar
V00017,2026-07-28,Audifonos Bluetooth,Tecnologia,1,79.1,79.1,Cuenca,A. Torres
V00018,2026-08-06,Monitor 27 4K,Tecnologia,10,340.46,3404.6,Guayaquil,C. Nunez
V00019,2026-07-05,Set de Boligrafos,Papeleria,7,6.12,42.84,Manta,M. Salazar
V00020,2026-07-13,Silla Ergonomica,Oficina,3,206.23,618.69,Ambato,J. Ramirez
V00021,2026-07-10,Bicicleta Urbana,Deporte,10,543.08,5430.8,Manta,J. Ramirez
V00022,2026-08-27,Monitor 27 4K,Tecnologia,3,325.2,975.6,Quito,A. Torres
V00023,2026-07-01,Teclado Mecanico,Tecnologia,11,63.1,694.1,Manta,L. Ortiz
V00024,2026-07-22,Mouse Inalambrico,Tecnologia,7,18.49,129.43,Ambato,J. Ramirez
V00025,2026-08-25,Cafetera Espresso,Hogar,1,150.57,150.57,Ambato,J. Ramirez
V00026,2026-08-08,Mochila Antirrobo,Accesorios,11,47.03,517.33,Manta,M. Salazar
V00027,2026-06-12,Set de Boligrafos,Papeleria,1,6.18,6.18,Cuenca,L. Ortiz
V00028,2026-08-26,Mochila Antirrobo,Accesorios,3,48.06,144.18,Cuenca,C. Nunez
V00029,2026-07-31,Cafetera Espresso,Hogar,10,141.5,1415.0,Guayaquil,L. Ortiz
V00030,2026-07-09,Mochila Antirrobo,Accesorios,9,50.58,455.22,Cuenca,P. Vega
V00031,2026-06-12,Laptop Pro 14,Tecnologia,2,1552.64,3105.28,Cuenca,M. Salazar
